tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
680695,681282,681283,-21839,-63467,42,41628,41629.31,41614.22,41611.99,990.7616,0,991.0,-0.008076,-0.010713,0.975303,-3.229008,-1.045802,-2.870229,0.474408,-0.62932,28.34176,False,0,0,0,0,0,False,True,False,True,True,20930,587,1,588,20930.45226130653
681369,681957,681958,-21845,-63467,42,41622,41622.17,41613.65,41612.86,990.7825,0,991.0,0.00291,-0.014131,0.975303,-3.076336,0.160305,1.931298,-0.170943,-0.830081,28.34176,False,0,0,0,0,0,False,True,False,True,True,21604,588,1,589,21605.628140703517
682046,682632,682633,-21855,-63467,42,41612,41612.59,41614.8,41613.17,990.7898,0,991.0,-0.005391,-0.016572,0.972861,-3.854962,0.580153,1.503817,0.317426,-0.975912,28.38882,False,0,0,0,0,0,False,True,False,True,True,22281,586,1,587,22280.804020100502
682719,683308,683308,-21880,-63467,42,41587,41589.74,41613.64,41613.81,990.8051,0,991.0,-0.011738,-0.007539,0.979941,-3.549618,-0.458015,0.236641,0.686266,-0.440788,28.38882,False,0,0,0,0,0,False,True,False,True,True,22954,589,0,589,22955.979899497488
683395,683983,683984,-21830,-63467,42,41637,41637.8,41619.04,41613.75,990.8035,0,991.0,0.006328,-0.012666,0.975547,-2.870229,-1.10687,0.59542,-0.371626,-0.743856,28.29471,False,0,0,0,0,0,False,True,False,True,True,23630,588,1,589,23631.15577889447
684070,684658,684659,-21851,-63467,42,41616,41616.06,41618.13,41615.82,990.8528,0,991.0,-0.001729,-0.014863,0.970664,-3.458015,-0.763359,2.183206,0.102018,-0.87727,28.34176,False,0,0,0,0,0,False,True,False,True,True,24305,588,1,589,24306.331658291456
684745,685333,685334,-21849,-63467,42,41618,41618.02,41617.84,41616.72,990.8743,0,991.0,-0.000996,-0.011445,0.983604,-3.870229,-0.251908,1.198473,0.058019,-0.666668,28.34176,False,0,0,0,0,0,False,True,False,True,True,24980,588,1,589,24981.50753768844
685420,686008,686009,-21853,-63467,42,41614,41614.02,41615.65,41617.16,990.8848,0,991.0,0.000957,-0.008027,0.98043,-3.587786,0.045802,1.183206,-0.055926,-0.469102,28.34176,False,0,0,0,0,0,False,True,False,True,True,25655,588,1,589,25656.683417085427
686096,686683,686684,-21840,-63467,42,41627,41627.03,41616.35,41616.57,990.8707,0,991.0,-0.00124,-0.017061,0.968467,-2.877863,-0.274809,0.656489,0.073362,-1.009218,28.38882,False,0,0,0,0,0,False,True,False,True,True,26331,587,1,588,26331.85929648241
686771,687358,687359,-21833,-63467,42,41634,41634.02,41619.41,41616.48,990.8687,0,991.0,-0.000996,-0.01999,0.978965,-3.59542,-0.984733,-0.977099,0.058286,-1.169801,28.43588,False,0,0,0,0,0,False,True,False,True,True,27006,587,1,588,27007.035175879395
687445,688034,688034,-21835,-63467,42,41632,41632.18,41625.47,41617.63,990.8959,0,991.0,-0.002949,-0.014863,0.977744,-3.389313,-0.717557,-0.900763,0.172803,-0.870919,28.43588,False,0,0,0,0,0,False,True,False,True,True,27680,589,0,589,27682.21105527638
