tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,B_WIFI,BF_WIFI,B_BLE,BF_BLE,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim
923442,924026,924027,-65488,-65471,42,-17,-17.00656,-3.287073,-4.183755,-0.099613,0,0.0,-0.028584,0.003691,0.986289,-2.625954,1.099237,-0.496183,1.660029,0.214441,24.15353,False,1171.7,0.944227,1.032337,3.186876,0,False,True,False,False,True,False,True,6744,584,1,585,6744.508670520231
924116,924701,924701,-65475,-65471,42,-4,-4.00107,-3.001236,-3.832704,-0.091255,0,0.0,-0.023701,-0.001436,0.982383,-2.51145,0.664122,-0.045802,1.382057,-0.083726,24.29471,False,1171.5,0.944066,1.032161,3.186332,0,False,True,False,False,True,False,True,7418,585,0,585,7418.959537572255
924790,925375,925376,-65466,-65471,42,5,5.00106,-5.430718,-3.507185,-0.083504,0,0.0,-0.02126,-0.003877,0.989951,-2.480916,0.557252,-0.59542,1.230258,-0.224386,24.15353,False,1173.2,0.945436,1.033659,3.190955,0,False,True,False,False,True,False,True,8092,585,1,586,8093.410404624277
925465,926049,926050,-65491,-65471,42,-20,-20.00647,-9.574936,-4.260248,-0.101434,0,0.0,-0.026387,-0.005098,0.994834,-2.480916,0.526718,-0.70229,1.519319,-0.293588,24.10647,False,1175.8,0.947531,1.03595,3.198027,0,False,True,False,False,True,False,True,8767,584,1,585,8767.8612716763
926139,926724,926725,-65491,-65471,42,-20,-20.00378,-12.28971,-6.340949,-0.150975,0,0.0,-0.020039,-0.001436,0.988242,-2.587786,-0.022901,-0.603053,1.161651,-0.083229,24.20059,False,1174.4,0.946403,1.034716,3.19422,0,False,True,False,False,True,False,True,9441,585,1,586,9442.312138728324
926814,927398,927399,-65315,-65471,42,156,156.0911,13.01035,-8.669888,-0.206426,0,0.0,-0.034932,-0.015596,0.979697,-3.129771,-0.290076,-0.603053,2.041784,-0.912007,24.24765,False,1170.9,0.943582,1.031633,3.1847,0,False,True,False,False,True,False,True,10116,584,1,585,10116.763005780347
927488,928073,928073,-62584,-65471,42,2887,2887.675,2887.675,2887.675,68.75417,0,69.0,-0.022236,0.039824,0.985068,-2.0,-1.145038,-1.816794,1.292082,2.31508,24.24765,True,1173.0,0.945275,1.033483,3.190412,0,False,True,False,False,True,False,True,10790,585,0,585,10791.21387283237
928162,928747,928748,-64066,-65471,42,1405,1405.287,1405.287,1405.287,33.45921,0,33.5,-0.020771,0.011504,0.985801,-2.244275,-0.358779,-1.534351,1.206997,0.668587,24.15353,True,1169.9,0.942777,1.030752,3.18198,0,False,True,False,False,True,False,True,11464,585,1,586,11465.664739884392
928837,929421,929422,-48154,-65471,42,17317,17321.84,17321.84,17321.84,412.4247,0,412.5,-0.024434,-0.06125,0.988975,-2.045802,3.59542,1.839695,1.412552,-3.543955,24.20059,True,1171.3,0.943905,1.031985,3.185788,0,False,True,False,False,True,False,True,12139,584,1,585,12140.115606936415
929512,930096,930097,-32902,-65471,42,32569,32616.01,32616.01,32616.01,776.5717,0,776.5,-0.054951,-0.02292,0.979941,1.89313,-25.0916,-1.442748,3.208672,-1.339848,24.24765,True,1173.5,0.945678,1.033923,3.191772,0,False,True,False,False,True,False,True,12814,584,1,585,12814.56647398844
930186,930770,930771,-25041,-65471,42,40430,40494.55,40494.55,40494.55,964.1559,0,964.0,0.057354,-0.013643,0.972617,-3.709924,13.47328,-1.312977,-3.374384,-0.803614,24.15353,True,1172.2,0.94463,1.032778,3.188236,0,False,True,False,False,True,False,True,13488,584,1,585,13489.017341040462
930861,931445,931446,-23706,-65471,42,41765,41861.32,41861.32,41861.32,996.698,0,996.5,-0.070576,0.000273,0.995811,-1.725191,1.870229,-0.541985,4.053941,0.015733,24.15353,True,1173.1,0.945355,1.033571,3.190684,0,False,True,False,False,True,False,True,14163,584,1,585,14163.468208092485
931535,932119,932120,-22763,-65471,42,42708,42759.84,42759.84,42759.84,1018.091,0,1018.0,0.049785,-0.003633,0.968467,-2.022901,-10.08397,-0.793893,-2.942738,-0.21492,24.20059,True,1170.9,0.943582,1.031633,3.1847,0,False,True,False,False,True,False,True,14837,584,1,585,14837.91907514451
932210,932794,932795,-22804,-65471,42,42667,42680.41,42680.41,42680.41,1016.2,0,1016.0,-0.026143,0.000762,0.999473,-3.160305,12.83206,-0.068702,1.498304,0.043666,24.24765,True,1171.2,0.943824,1.031897,3.185516,0,False,True,False,False,True,False,True,15512,584,1,585,15512.369942196532
932884,933468,933469,-22792,-65471,42,42679,42679.32,42679.32,42679.32,1016.174,0,1016.0,-0.003926,0.000273,0.978965,-1.694657,-12.66412,-1.022901,0.229762,0.016003,24.20059,True,1172.0,0.944469,1.032602,3.187692,0,False,True,False,False,True,False,True,16186,584,1,585,16186.820809248555
933558,934143,934143,-22787,-65471,42,42684,42690.71,42680.95,42679.32,1016.174,0,1016.0,0.018047,-0.005342,0.975547,-2.870229,8.931297,-0.19084,-1.059789,-0.31373,24.10647,False,1170.6,0.943341,1.031368,3.183884,0,False,True,False,False,True,False,True,16860,585,0,585,16861.271676300577
934233,934817,934818,-22845,-65471,42,42626,42647.27,42676.37,42679.95,1016.189,0,1016.0,-0.032734,0.0054,0.993369,-2.396947,-4.832061,-0.709924,1.887346,0.311481,24.24765,False,1172.5,0.944872,1.033042,3.189052,0,False,True,False,False,True,False,True,17535,584,1,585,17535.7225433526
934907,935492,935492,-22823,-65471,42,42648,42670.06,42675.05,42678.55,1016.156,0,1016.0,0.032695,-0.010957,0.974326,-2.167939,-0.206107,-0.381679,-1.921819,-0.644305,24.15353,False,1173.5,0.945678,1.033923,3.191772,0,False,True,False,False,True,False,True,18209,585,0,585,18210.173410404623
935582,936166,936167,-22819,-65471,42,42652,42675.86,42674.55,42677.18,1016.123,0,1016.0,-0.034688,-0.000459,0.994102,-2.832061,3.465649,-0.435115,1.998424,-0.026454,24.10647,False,1171.2,0.943824,1.031897,3.185516,0,False,True,False,False,True,False,True,18884,584,1,585,18884.62427745665
936257,936840,936841,-22819,-65471,42,42652,42657.38,42671.42,42676.15,1016.099,0,1016.0,0.016338,-0.000459,0.986777,-1.725191,-6.290076,-0.709924,-0.948547,-0.02665,24.20059,False,1173.0,0.945275,1.033483,3.190412,0,False,True,False,False,True,False,True,19559,583,1,584,19559.07514450867
936931,937515,937516,-22817,-65471,42,42654,42659.85,42668.64,42674.3,1016.055,0,1016.0,-0.017109,0.001738,0.99044,-2.854962,6.839695,-0.549618,0.989655,0.100557,24.20059,False,1172.9,0.945194,1.033395,3.19014,0,False,True,False,False,True,False,True,20233,584,1,585,20233.526011560694
937605,938189,938190,-22834,-65471,42,42637,42637.39,42662.65,42672.08,1016.002,0,1016.0,-0.004414,-0.003633,0.988731,-1.89313,-6.320611,-0.992366,0.255786,-0.210516,24.20059,False,1171.8,0.944308,1.032426,3.187148,0,False,True,False,False,True,False,True,20907,584,1,585,20907.976878612717
938280,938864,938865,-22825,-65471,42,42646,42646.27,42656.3,42668.39,1015.914,0,1016.0,0.003643,0.003691,0.976523,-2.603053,4.229008,-0.465649,-0.213719,0.216585,24.20059,False,1172.6,0.944952,1.03313,3.189324,0,False,True,False,False,True,False,True,21582,584,1,585,21582.42774566474
938954,939538,939539,-22828,-65471,42,42643,42648.01,42656.41,42663.66,1015.801,0,1016.0,-0.015889,0.004668,0.993613,-2.435115,-2.847328,-0.847328,0.916115,0.269171,24.15353,False,1171.9,0.944388,1.032514,3.18742,0,False,True,False,False,True,False,True,22256,584,1,585,22256.878612716762
939629,940213,940213,-22200,-65471,42,43271,43304.39,43304.39,43304.39,1031.057,0,1031.0,0.04002,-0.047822,0.975303,-1.885496,4.694656,1.229008,-2.346874,-2.807144,24.24765,True,1172.4,0.944791,1.032954,3.18878,0,False,True,False,False,True,False,True,22931,584,0,584,22931.329479768785
940303,940887,940888,-9691,-65471,42,55780,55780.22,55780.22,55780.22,1328.1,0,1328.0,0.00291,0.009795,0.994102,-2.015267,-12.27481,-0.450382,-0.16772,0.564518,24.24765,True,1172.3,0.944711,1.032866,3.188508,0,False,True,False,False,True,False,True,23605,584,1,585,23605.780346820808
940977,941562,941562,20702,-65471,42,86173,86449.58,86449.58,86449.58,2058.323,0,2058.0,-0.084248,0.015898,1.007285,-3.687023,-4.740458,-6.641222,4.780415,0.904248,24.15353,True,1172.2,0.94463,1.032778,3.188236,0,False,True,False,False,True,False,True,24279,585,0,585,24280.23121387283
941652,942236,942237,15968,-65471,42,81439,81439.15,81439.15,81439.15,1939.027,0,1939.0,-0.001973,-0.006074,0.992637,-3.931298,13.43511,-0.290076,0.113861,-0.350604,24.15353,True,1171.7,0.944227,1.032337,3.186876,0,False,True,False,False,True,False,True,24954,584,1,585,24954.682080924857
942326,942911,942911,19054,-65471,42,84525,84670.15,84670.15,84670.15,2015.956,0,2016.0,0.059551,-0.003877,0.973838,-1.854962,-2.374046,-0.198473,-3.499279,-0.228099,24.24765,True,1170.7,0.943421,1.031456,3.184156,0,False,True,False,False,True,False,True,25628,585,0,585,25629.13294797688
943001,943585,943586,19626,-65471,42,85097,85097.3,85097.3,85097.3,2026.126,0,2026.0,-0.002705,-0.003145,0.985801,-1.900763,-6.770992,-0.496183,0.15722,-0.182762,24.20059,True,1171.4,0.943985,1.032073,3.18606,0,False,True,False,False,True,False,True,26303,584,1,585,26303.583815028902
