tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_DEBUG_MODE,B_SERIALPORT,BF_SERIALPORT,timeNorm,timeMeasure,timeAlgo,timeTotal,timeSim,realWeight
3443779,3444368,3444369,-24096,-23882,61.7977,-214,2838.927,3023.07,3038.112,49.16222,0,49.0,0.98877,-0.03833,0.013672,-2.885496,-0.900763,-0.832061,-87.64297,-70.36913,26.64765,False,0,0,0,0,0,True,True,False,35120,589,1,590,35120.48484848485,1000
3444455,3445043,3445044,-24112,-23882,61.7977,-230,2891.883,2978.132,3032.223,49.06692,0,49.0,0.967529,-0.033936,0.014648,-3.053435,-0.916031,-0.648855,-87.81201,-66.65218,26.55353,False,0,0,0,0,0,True,True,False,35796,588,1,589,35795.878787878784,1000
3445131,3445719,3445720,-24083,-23882,61.7977,-201,2644.632,2945.895,3011.046,48.72425,0,49.0,0.968994,-0.037354,0.012695,-3.030534,-0.748092,-0.793893,-87.66833,-71.22852,26.55353,False,0,0,0,0,0,True,True,False,36472,588,1,589,36471.27272727273,1000
3445806,3446394,3446395,-24098,-23882,61.7977,-216,2679.208,2830.026,2985.54,48.3115,0,48.0,0.96582,-0.032715,0.015381,-3.145038,-0.778626,-0.679389,-87.85625,-64.81932,26.55353,False,0,0,0,0,0,True,True,False,37147,588,1,589,37146.666666666664,1000
3446481,3447069,3447070,-24117,-23882,61.7977,-235,2893.904,2870.737,2924.656,47.32629,0,47.0,0.966553,-0.032959,0.013916,-3.061069,-0.755725,-0.450382,-87.88,-67.10929,26.64765,False,0,0,0,0,0,True,True,False,37822,588,1,589,37822.06060606061,1000
3447156,3447745,3447746,-24096,-23882,61.7977,-214,3097.164,2925.209,2903.547,46.9847,0,47.0,0.969238,-0.042725,0.011475,-2.870229,-0.923664,-0.732824,-87.38647,-74.96657,26.60059,False,0,0,0,0,0,True,True,False,38497,589,1,590,38497.454545454544,1000
3447832,3448420,3448421,-24085,-23882,61.7977,-203,2935.823,2854.508,2912.028,47.12194,0,47.0,0.974365,-0.039795,0.019775,-2.954198,-1.022901,-0.48855,-87.38853,-63.57558,26.60059,False,0,0,0,0,0,True,True,False,39173,588,1,589,39172.84848484848,1000
3448507,3449096,3449097,-24127,-23882,61.7977,-245,3378.431,2931.58,2889.509,46.75754,0,47.0,0.965576,-0.038574,0.015869,-3.015267,-0.916031,-0.267176,-87.52628,-67.63795,26.55353,False,0,0,0,0,0,True,True,False,39848,589,1,590,39848.242424242424,1000
3449183,3449771,3449772,-24096,-23882,61.7977,-214,2499.617,2875.542,2905.979,47.02407,0,47.0,0.973145,-0.031006,0.01123,-3.083969,-0.847328,-0.717557,-88.05895,-70.08921,26.74176,False,0,0,0,0,0,True,True,False,40524,588,1,589,40523.63636363636,1000
3449858,3450446,3450447,-24125,-23882,61.7977,-243,3170.503,2950.666,2894.063,46.83124,0,47.0,0.968506,-0.036865,0.012695,-2.931298,-0.900763,-0.854962,-87.69444,-70.99762,26.55353,False,0,0,0,0,0,True,True,False,41199,588,1,589,41199.030303030304,1000
3450533,3451122,3451123,-24102,-23882,61.7977,-220,3008.51,2997.709,2916.223,47.18983,0,47.0,0.973145,-0.039307,0.013672,-2.977099,-0.977099,-0.755725,-87.55104,-70.82083,26.55353,False,0,0,0,0,0,True,True,False,41874,589,1,590,41874.42424242424,1000
3451209,3451797,3451798,-24103,-23882,61.7977,-221,2867.139,2993.886,2948.125,47.70607,0,48.0,0.967041,-0.035645,0.014893,-3.122137,-0.977099,-0.610687,-87.7122,-67.32427,26.55353,False,0,0,0,0,0,True,True,False,42550,588,1,589,42549.818181818184,1000
3451884,3452472,3452473,-24115,-23882,61.7977,-233,2769.55,2947.084,2966.04,47.99597,0,48.0,0.983643,-0.031738,0.013184,-3.099237,-0.931298,-0.549618,-87.99875,-67.4426,26.64765,False,0,0,0,0,0,True,True,False,43225,588,1,589,43225.21212121212,1000
3452559,3453148,3453149,-24089,-23882,61.7977,-207,2669.958,2909.103,2958.619,47.87587,0,48.0,0.956543,-0.034424,0.015869,-3.0,-1.137405,-0.687023,-87.73048,-65.25048,26.60059,False,0,0,0,0,0,True,True,False,43900,589,1,590,43900.60606060606,1000
3453234,3453823,3453824,-24087,-23882,61.7977,-205,2586.73,2796.003,2939.233,47.56218,0,47.5,0.962158,-0.034424,0.013428,-2.938931,-0.755725,-0.519084,-87.80053,-68.69053,26.60059,False,0,0,0,0,0,True,True,False,44575,589,1,590,44576.0,1000
3453910,3454498,3454499,-24114,-23882,61.7977,-232,3412.02,2926.346,2883.158,46.65479,0,46.5,0.976074,-0.042969,0.014404,-2.946565,-0.946565,-0.59542,-87.34148,-71.46728,26.60059,False,0,0,0,0,0,True,True,False,45251,588,1,589,45251.393939393936,1000
3454585,3455174,3455175,-24082,-23882,61.7977,-200,2786.768,2871.527,2900.066,46.92839,0,47.0,0.974365,-0.038818,0.017578,-2.923664,-1.083969,-0.900763,-87.49562,-65.6374,26.55353,False,0,0,0,0,0,True,True,False,45926,589,1,590,45926.78787878788,1000
3455262,3455849,3455850,-24107,-23882,61.7977,-225,2762.922,2836.443,2888.893,46.74758,0,47.0,0.976074,-0.032959,0.014404,-3.0,-1.015267,-0.526718,-87.88936,-66.39274,26.69471,False,0,0,0,0,0,True,True,False,46603,587,1,588,46602.181818181816,1000
3455936,3456525,3456525,-24125,-23882,61.7977,-243,3163.15,2878.73,2868.359,46.4153,0,46.5,0.967041,-0.036133,0.01416,-3.0,-0.80916,-0.625954,-87.70169,-68.60003,26.60059,False,0,0,0,0,0,True,True,False,47277,589,0,589,47277.57575757576,1000
3456611,3457200,3457201,-24115,-23882,61.7977,-233,2933.277,2902.119,2872.419,46.48101,0,46.5,0.976318,-0.0354,0.011963,-2.969466,-0.923664,-0.641221,-87.80796,-71.32813,26.55353,False,0,0,0,0,0,True,True,False,47952,589,1,590,47952.969696969696,1000
3457287,3457875,3457876,-24071,-23882,61.7977,-189,2765.768,2915.807,2884.047,46.66916,0,46.5,0.973145,-0.042969,0.013184,-2.89313,-0.938931,-0.755725,-87.35541,-72.94286,26.60059,False,0,0,0,0,0,True,True,False,48628,588,1,589,48628.36363636363,1000
3457962,3458551,3458551,-24114,-23882,61.7977,-232,3058.706,2983.232,2896.481,46.87037,0,47.0,0.972168,-0.036377,0.015869,-2.877863,-0.916031,-0.435115,-87.66206,-66.43102,26.60059,False,0,0,0,0,0,True,True,False,49303,589,0,589,49303.757575757576,1000
3458638,3459226,3459227,-24101,-23882,61.7977,-219,2668.135,2876.962,2930.444,47.41995,0,47.5,0.970703,-0.032471,0.013916,-3.076336,-1.015267,-0.725191,-87.91554,-66.80125,26.55353,False,0,0,0,0,0,True,True,False,49979,588,1,589,49979.15151515151,1000
3459313,3459901,3459902,-24068,-23882,61.7977,-186,2626.386,2854.051,2909.506,47.08113,0,47.0,0.982422,-0.040039,0.017334,-2.839695,-0.763359,-0.732824,-87.45692,-66.59077,26.60059,False,0,0,0,0,0,True,True,False,50654,588,1,589,50654.545454545456,1000
3459988,3460577,3460578,-24089,-23882,61.7977,-207,2567.933,2826.195,2887.795,46.72982,0,47.0,0.974121,-0.032471,0.016602,-3.061069,-0.89313,-0.412214,-87.85579,-62.92019,26.60059,False,0,0,0,0,0,True,True,False,51329,589,1,590,51329.93939393939,1000
3460664,3461252,3461253,-24083,-23882,61.7977,-201,2802.256,2774.639,2863.679,46.33957,0,46.0,0.977051,-0.037109,0.02124,-3.045802,-0.862595,-0.572519,-87.494,-60.2144,26.55353,False,0,0,0,0,0,True,True,False,52005,588,1,589,52005.33333333333,1000
3461339,3461927,3461928,-24092,-23882,61.7977,-210,2774.863,2752.008,2828.82,45.77548,0,46.0,0.975586,-0.034424,0.020264,-2.839695,-1.045802,-0.770992,-87.65514,-59.51656,26.50647,False,0,0,0,0,0,True,True,False,52680,588,1,589,52680.72727272727,1000
3462014,3462603,3462604,-24110,-23882,61.7977,-228,3122.551,2802.977,2798.748,45.28887,0,45.0,0.971436,-0.038574,0.015625,-2.969466,-0.854962,-0.78626,-87.54661,-67.94878,26.55353,False,0,0,0,0,0,True,True,False,53355,589,1,590,53356.12121212121,1000
3462690,3463278,3463279,-24109,-23882,61.7977,-227,3213.858,2825.142,2800.404,45.31567,0,45.0,0.977295,-0.040039,0.01709,-2.984733,-0.885496,-0.847328,-87.44923,-66.88564,26.60059,False,0,0,0,0,0,True,True,False,54031,588,1,589,54031.51515151515,1000
3463365,3463954,3463954,-24100,-23882,61.7977,-218,2784.793,2841.807,2810.089,45.47239,0,45.5,0.974365,-0.035645,0.013428,-2.984733,-0.80916,-0.458015,-87.76113,-69.35783,26.55353,False,0,0,0,0,0,True,True,False,54706,589,0,589,54706.90909090909,1000
3464041,3464629,3464630,-24120,-23882,61.7977,-238,3317.437,2940.529,2822.507,45.67333,0,45.5,0.970947,-0.037598,0.019775,-2.954198,-0.877863,-0.824428,-87.49458,-62.25665,26.50647,False,0,0,0,0,0,True,True,False,55382,588,1,589,55382.30303030303,1000
3464716,3465304,3465305,-24099,-23882,61.7977,-217,2699.599,2959.338,2868.712,46.42102,0,46.5,0.967041,-0.033691,0.013672,-2.984733,-0.916031,-0.633588,-87.84655,-67.91267,26.55353,False,0,0,0,0,0,True,True,False,56057,588,1,589,56057.69696969697,1000
3465392,3465980,3465981,-24117,-23882,61.7977,-235,3791.99,3100.729,2904.192,46.99516,0,47.0,0.970703,-0.046631,0.015869,-3.007634,-0.900763,-1.0,-87.09489,-71.20567,26.60059,False,0,0,0,0,0,True,True,False,56733,588,1,589,56733.090909090904,1000
3466066,3466655,3466656,-24096,-23882,61.7977,-214,3025.531,3136.539,2981.136,48.24025,0,48.0,0.973877,-0.041016,0.013916,-3.19084,-0.938931,-0.312977,-87.45331,-71.25849,26.64765,False,0,0,0,0,0,True,True,False,57407,589,1,590,57408.48484848485,1000
3466742,3467331,3467331,-24105,-23882,61.7977,-223,2781.931,3087.879,3041.976,49.22475,0,49.0,0.970459,-0.031738,0.018311,-3.10687,-1.022901,-0.412214,-87.83752,-60.01822,26.55353,False,0,0,0,0,0,True,True,False,58083,589,0,589,58083.878787878784,1000
3467418,3468006,3468007,-24113,-23882,61.7977,-231,2974.886,3053.74,3059.947,49.51555,0,49.5,0.978027,-0.035156,0.016113,-3.099237,-1.007634,-0.740458,-87.7354,-65.37628,26.60059,False,0,0,0,0,0,True,True,False,58759,588,1,589,58759.27272727273,1000
3468093,3468681,3468682,-24078,-23882,61.7977,-196,2559.662,3021.578,3057.517,49.47622,0,49.5,0.967285,-0.036865,0.012695,-3.007634,-0.900763,-0.870229,-87.69153,-70.99762,26.55353,False,0,0,0,0,0,True,True,False,59434,588,1,589,59434.666666666664,1000
3468768,3469357,3469357,-24079,-23882,61.7977,-197,2617.95,2921.652,3043.447,49.24855,0,49.0,0.971436,-0.037842,0.013184,-2.923664,-0.938931,-0.519084,-87.63763,-70.79216,26.50647,False,0,0,0,0,0,True,True,False,60109,589,0,589,60110.06060606061,1000
