tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
1492980.0,1493513.0,1493514.0,647.0,754.0,42.746101,-107.0,-107.0,-2.50317,-2.80561,0.0,0.0,-0.06,1.0,45.46,-0.25,-1.58,-0.25,-3.62,24.86,104,180490.0
1493674.0,1494207.0,1494208.0,680.0,754.0,42.746101,-74.0,-74.0,-1.73116,-2.6872,0.0,-0.0,-0.06,1.0,45.44,-0.21,-1.58,0.14,-3.59,24.86,104,181184.0
1494368.0,1494901.0,1494902.0,1267.0,754.0,42.746101,513.0,513.0,12.0011,12.0011,12.0,0.0,-0.06,1.0,45.47,-0.55,-1.63,-0.03,-3.34,24.95,104,181878.0
1495063.0,1495595.0,1495596.0,659.0,754.0,42.746101,-95.0,-95.0,-2.22245,-2.22245,0.0,0.01,-0.06,1.0,45.28,-0.4,-1.56,-0.31,-3.5,24.81,104,182573.0
1495756.0,1496289.0,1496290.0,649.0,754.0,42.746101,-105.0,-105.0,-2.45639,-2.22245,0.0,-0.0,-0.07,1.0,45.32,-0.63,-1.6,0.25,-4.04,24.86,104,183266.0
1496451.0,1496984.0,1496984.0,638.0,754.0,42.746101,-116.0,-116.0,-2.7137,-2.31404,0.0,0.0,-0.06,1.0,45.42,-0.47,-1.4,-0.06,-3.73,24.86,104,183961.0
1497145.0,1497678.0,1497679.0,668.0,754.0,42.746101,-86.0,-86.0,-2.01188,-2.47051,0.0,-0.0,-0.07,0.99,45.39,-0.24,-1.6,0.11,-4.13,24.77,104,184655.0
1497839.0,1498372.0,1498373.0,1039.0,754.0,42.746101,285.0,285.01,6.66741,6.66741,6.5,0.01,-0.06,1.0,45.47,-0.33,-1.6,-0.38,-3.59,24.86,104,185349.0
1498533.0,1499067.0,1499067.0,634.0,754.0,42.746101,-120.0,-120.0,-2.80728,-2.80728,0.0,0.0,-0.06,1.0,45.29,-0.48,-1.4,-0.11,-3.62,24.81,104,186043.0
1499228.0,1499761.0,1499761.0,641.0,754.0,42.746101,-113.0,-113.0,-2.64352,-2.80728,0.0,0.0,-0.07,0.99,45.36,-0.37,-1.54,-0.01,-4.21,24.95,104,186738.0
1499922.0,1500455.0,1500456.0,659.0,754.0,42.746101,-95.0,-95.0,-2.22243,-2.74317,0.0,-0.0,-0.06,1.0,45.59,-0.3,-1.5,0.11,-3.46,24.81,104,187432.0
1500616.0,1501149.0,1501150.0,1686.0,754.0,42.746101,932.0,932.01,21.8034,21.8034,22.0,0.0,-0.06,0.99,45.46,-0.49,-1.6,-0.28,-3.55,24.95,104,188126.0
1501310.0,1501843.0,1501844.0,-406.0,754.0,42.746101,-1160.0,-1160.0,-27.13707,-27.13707,-27.0,-0.0,-0.06,1.0,45.34,-0.49,-1.4,0.15,-3.58,24.86,104,188820.0
1502005.0,1502537.0,1502538.0,572.0,754.0,42.746101,-182.0,-182.0,-4.2577,-4.2577,0.0,-0.0,-0.06,1.0,45.25,-0.34,-1.43,0.06,-3.66,24.81,104,189515.0
1502699.0,1503232.0,1503232.0,627.0,754.0,42.746101,-127.0,-127.0,-2.97104,-4.2577,0.0,-0.0,-0.06,1.0,45.44,-0.53,-1.53,0.14,-3.28,24.91,104,190209.0
