tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
240339,240896,240897,-4400,-4392,42.7461,-8,-8.006972,-12.15287,-15.10926,-0.353465,0,0.0,0.046143,0.05249,1.058105,-11.49618,5.816794,-1.534351,-2.493942,2.83998,28.95353,False,1868.1,1.505429,1.645907,5.080996,0,False,True,True,True,True,False,False,False,False,False,500,7316,557,1,7424.217391304347
241010,241561,241561,-4416,-4392,42.7461,-24,-24.01234,-13.58187,-13.95183,-0.326388,0,0.0,0.035645,0.048828,1.064453,-11.64122,5.763359,-1.496183,-1.915886,2.6264,28.85941,False,1867.2,1.504703,1.645114,5.078548,0,False,True,True,True,True,False,False,False,False,False,500,7987,551,0,8166.639130434782
242338,242889,242890,-4422,-4392,42.7461,-30,-30.02134,-15.86903,-13.77494,-0.32225,0,0.0,0.041748,0.050781,1.059814,-11.75572,5.755725,-1.374046,-2.253232,2.743236,28.85941,False,1866.0,1.503736,1.644057,5.075284,0,False,True,True,True,True,False,False,False,False,False,500,9315,551,1,8909.060869565217
243000,243554,243554,-4420,-4392,42.7461,-28,-28.01972,-17.29782,-14.59478,-0.341429,0,0.0,0.041504,0.052979,1.058838,-11.75572,5.931298,-1.435115,-2.241901,2.864375,28.81235,False,1865.5,1.503333,1.643617,5.073924,0,False,True,True,True,True,False,False,False,False,False,500,9977,554,0,9651.482608695651
243667,244218,244219,-4388,-4392,42.7461,4,4.003514,-14.0096,-15.65302,-0.366186,0,0.0,0.045898,0.052734,1.04834,-11.64886,5.89313,-1.572519,-2.503757,2.879701,28.90647,False,1865.7,1.503495,1.643793,5.074468,0,False,True,True,True,True,False,False,False,False,False,500,10644,551,1,10393.904347826086
244327,244882,244883,-4417,-4392,42.7461,-25,-25.0203,-17.44094,-15.00962,-0.351134,0,0.0,0.044434,0.050537,1.055664,-11.70992,5.954198,-1.312977,-2.407435,2.740784,28.85941,False,1867.2,1.504703,1.645114,5.078548,0,False,True,True,True,True,False,False,False,False,False,500,11304,555,1,11136.32608695652
244993,245547,245548,-4406,-4392,42.7461,-14,-14.01284,-18.29892,-15.96148,-0.373402,0,0.0,0.047607,0.050049,1.064209,-11.62595,5.885496,-1.358779,-2.558591,2.692581,28.85941,False,1866.7,1.5043,1.644674,5.077188,0,False,True,True,True,True,False,False,False,False,False,500,11970,554,1,11878.747826086956
246323,246876,246876,-4414,-4392,42.7461,-22,-22.01994,-17.15646,-16.37036,-0.382967,0,0.0,0.046875,0.051025,1.054199,-11.64886,6.175572,-1.694657,-2.543002,2.771063,28.85941,False,1867.3,1.504784,1.645202,5.07882,0,False,True,True,True,True,False,False,False,False,False,500,13300,553,0,12621.169565217391
246985,247540,247541,-4393,-4392,42.7461,-1,-1.000716,-13.01066,-16.67812,-0.390167,0,0.0,0.041992,0.058105,1.062012,-11.68702,5.824428,-1.534351,-2.260926,3.131674,28.85941,False,1866.4,1.504059,1.644409,5.076372,0,False,True,True,True,True,False,False,False,False,False,500,13962,555,1,13363.591304347825
247651,248204,248205,-4391,-4392,42.7461,1,1.000646,-8.864895,-15.24231,-0.356578,0,0.0,0.039795,0.05542,1.05957,-11.66412,6.007634,-1.641221,-2.147943,2.994072,28.85941,False,1866.5,1.504139,1.644498,5.076644,0,False,True,True,True,True,False,False,False,False,False,500,14628,553,1,14106.01304347826
248314,248869,248871,-4411,-4392,42.7461,-19,-19.01467,-12.15321,-12.74555,-0.298169,0,0.0,0.043457,0.054199,1.058838,-11.65649,5.78626,-1.572519,-2.347151,2.930261,28.95353,False,1867.1,1.504623,1.645026,5.078276,0,False,True,True,True,True,False,False,False,False,False,500,15291,555,2,14848.434782608694
248981,249533,249534,-4396,-4392,42.7461,-4,-4.004087,-9.150889,-12.51365,-0.292744,0,0.0,0.050049,0.050049,1.060059,-11.64122,5.885496,-1.70229,-2.700104,2.703107,28.85941,False,1866.1,1.503817,1.644145,5.075556,0,False,True,True,True,True,False,False,False,False,False,500,15958,552,1,15590.85652173913
249643,250198,250198,-4422,-4392,42.7461,-30,-30.02267,-11.43801,-11.19713,-0.261945,0,0.0,0.043213,0.052246,1.064209,-11.63359,6.045802,-1.618321,-2.322455,2.810606,28.81235,False,1865.7,1.503495,1.643793,5.074468,0,False,True,True,True,True,False,False,False,False,False,500,16620,555,0,16333.278260869563
250309,250862,250863,-4420,-4392,42.7461,-28,-28.01849,-14.7257,-11.29143,-0.264151,0,0.0,0.040283,0.057617,1.061035,-11.74046,6.152672,-1.51145,-2.171044,3.108262,28.90647,False,1866.8,1.504381,1.644762,5.07746,0,False,True,True,True,True,False,False,False,False,False,500,17286,553,1,17075.699999999997
250972,251526,251527,-4374,-4392,42.7461,18,18.01479,-9.006453,-12.63595,-0.295605,0,0.0,0.044922,0.054199,1.060791,-11.69466,5.992366,-1.450382,-2.421725,2.924875,29.00059,False,1867.5,1.504945,1.645379,5.079364,0,False,True,True,True,True,False,False,False,False,False,500,17949,554,1,17818.121739130434
251638,252191,252192,-4411,-4392,42.7461,-19,-19.01474,-11.57988,-11.215,-0.262363,0,0.0,0.043701,0.052979,1.062256,-11.72519,6.015267,-1.633588,-2.352891,2.855174,28.90647,False,1867.1,1.504623,1.645026,5.078276,0,False,True,True,True,True,False,False,False,False,False,500,18615,553,1,18560.543478260868
252300,252855,252857,-4408,-4392,42.7461,-16,-16.01421,-14.01058,-11.35785,-0.265705,0,0.0,0.046875,0.054932,1.064697,-11.58015,5.900764,-1.519084,-2.51756,2.953474,28.95353,False,1865.7,1.503495,1.643793,5.074468,0,False,True,True,True,True,False,False,False,False,False,500,19277,555,2,19302.965217391302
252969,253520,253521,-4418,-4392,42.7461,-26,-26.01713,-15.01093,-12.3964,-0.290001,0,0.0,0.040283,0.054443,1.062256,-11.69466,6.183206,-1.618321,-2.168899,2.933983,28.85941,False,1866.6,1.50422,1.644586,5.076916,0,False,True,True,True,True,False,False,False,False,False,500,19946,551,1,20045.38695652174
253629,254184,254185,-4414,-4392,42.7461,-22,-22.01669,-17.58416,-13.41999,-0.313946,0,0.0,0.043213,0.057373,1.062012,-11.64122,6.114504,-1.648855,-2.326666,3.092276,28.95353,False,1867.0,1.504542,1.644938,5.078004,0,False,True,True,True,True,False,False,False,False,False,500,20606,555,1,20787.808695652173
254960,255513,255514,-4403,-4392,42.7461,-11,-11.00889,-10.57937,-14.25123,-0.333393,0,0.0,0.044678,0.055176,1.063721,-11.49618,5.946565,-1.503817,-2.401857,2.969296,28.85941,False,1868.0,1.505348,1.645819,5.080724,0,False,True,True,True,True,False,False,False,False,False,500,21937,553,1,21530.230434782607
255625,256177,256178,-4429,-4392,42.7461,-37,-37.03133,-18.4431,-12.8137,-0.299763,0,0.0,0.045654,0.05542,1.062012,-11.71756,6.061069,-1.557252,-2.458198,2.987201,28.90647,False,1867.4,1.504864,1.645291,5.079092,0,False,True,True,True,True,False,False,False,False,False,500,22602,552,1,22272.65217391304
256288,256842,256842,-4393,-4392,42.7461,-1,-1.000511,-15.86964,-15.01761,-0.351321,0,0.0,0.035156,0.051514,1.052979,-11.64886,5.832061,-1.51145,-1.909962,2.800777,28.85941,False,1866.7,1.5043,1.644674,5.077188,0,False,True,True,True,True,False,False,False,False,False,500,23265,554,0,23015.073913043478
256954,257506,257507,-4401,-4392,42.7461,-9,-9.007178,-14.86864,-15.35118,-0.359125,0,0.0,0.044189,0.051025,1.059326,-11.37405,5.938931,-1.778626,-2.385922,2.757673,28.90647,False,1865.8,1.503575,1.643881,5.07474,0,False,True,True,True,True,False,False,False,False,False,500,23931,552,1,23757.49565217391
257621,258170,258171,-4413,-4392,42.7461,-21,-21.02142,-14.15496,-15.16226,-0.354705,0,0.0,0.050049,0.049805,1.061035,-11.58015,5.946565,-1.641221,-2.697657,2.687469,28.95353,False,1866.4,1.504059,1.644409,5.076372,0,False,True,True,True,True,False,False,False,False,False,500,24598,549,1,24499.917391304345
258283,258835,258835,-4399,-4392,42.7461,-7,-7.005532,-12.01051,-14.76791,-0.34548,0,0.0,0.044189,0.051025,1.064209,-11.53435,5.954198,-1.603053,-2.375012,2.745039,28.85941,False,1865.8,1.503575,1.643881,5.07474,0,False,True,True,True,True,False,False,False,False,False,500,25260,552,0,25242.339130434782
258948,259499,259500,-4386,-4392,42.7461,6,6.005691,-11.43845,-13.68839,-0.320225,0,0.0,0.048584,0.053223,1.067871,-11.60305,5.816794,-1.526718,-2.601708,2.853252,28.90647,False,1866.2,1.503897,1.644233,5.075828,0,False,True,True,True,True,False,False,False,False,False,500,25925,551,1,25984.760869565216
259608,260163,260164,-4377,-4392,42.7461,15,15.01245,-7.721115,-12.80754,-0.299619,0,0.0,0.044922,0.051025,1.05542,-11.55725,5.70229,-1.496183,-2.434366,2.767864,28.85941,False,1864.5,1.502527,1.642736,5.071204,0,False,True,True,True,True,False,False,False,False,False,500,26585,555,1,26727.18260869565
260275,260828,260829,-4414,-4392,42.7461,-22,-22.02104,-5.576789,-10.8162,-0.253034,0,0.0,0.048584,0.051514,1.063477,-11.56489,5.885496,-1.427481,-2.612623,2.773173,28.85941,False,1865.9,1.503656,1.643969,5.075012,0,False,True,True,True,True,False,False,False,False,False,500,27252,553,1,27469.604347826084
260938,261492,261493,-4392,-4392,42.7461,0,0.0,-5.433858,-8.764972,-0.205047,0,0.0,0.040771,0.049805,1.05542,-11.67939,5.824428,-1.473282,-2.209807,2.701746,28.90647,False,1868.2,1.505509,1.645995,5.081268,0,False,True,True,True,True,False,False,False,False,False,500,27915,554,1,28212.02608695652
261603,262157,262157,-4390,-4392,42.7461,2,2.001573,-3.86118,-7.460841,-0.174539,0,0.0,0.043701,0.050049,1.055176,-11.57252,5.946565,-1.656489,-2.368942,2.715597,29.00059,False,1866.5,1.504139,1.644498,5.076644,0,False,True,True,True,True,False,False,False,False,False,500,28580,554,0,28954.447826086955
262267,262821,262822,-4377,-4392,42.7461,15,15.00896,1.286017,-6.051573,-0.14157,0,0.0,0.03833,0.054932,1.061523,-11.71756,6.152672,-1.496183,-2.065204,2.962289,28.95353,False,1867.4,1.504864,1.645291,5.079092,0,False,True,True,True,True,False,False,False,False,False,500,29244,554,1,29696.86956521739
262931,263485,263486,-4408,-4392,42.7461,-16,-16.01409,-0.00092,-3.178907,-0.074367,0,0.0,0.046387,0.054688,1.058105,-11.38931,5.732824,-1.694657,-2.506858,2.958656,28.95353,False,1867.0,1.504542,1.644938,5.078004,0,False,True,True,True,True,False,False,False,False,False,500,29908,554,1,30439.291304347826
263594,264150,264151,-4405,-4392,42.7461,-13,-13.01058,-2.717531,-1.934725,-0.045261,0,0.0,0.044678,0.055664,1.059814,-11.66412,5.709924,-1.679389,-2.410618,3.006546,28.90647,False,1867.5,1.504945,1.645379,5.079364,0,False,True,True,True,True,False,False,False,False,False,500,30571,556,1,31181.71304347826
264262,264814,264815,-4403,-4392,42.7461,-11,-11.00576,-6.434418,-2.241193,-0.05243,0,0.0,0.035889,0.052246,1.062256,-11.72519,5.870229,-1.526718,-1.932682,2.815766,28.81235,False,1867.4,1.504864,1.645291,5.079092,0,False,True,True,True,True,False,False,False,False,False,500,31239,552,1,31924.134782608693
