tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
378001,378553,378554,-39219,-39315,42.7461,96,96.0425,99.32783,103.4157,2.419302,0,0.0,0.032959,0.003418,1.061768,-11.41985,5.847328,-1.534351,-1.77797,0.184442,29.37706,False,2625.9,2.11611,2.313574,7.142116,0.931355,False,True,True,True,True,False,False,False,False,False,500,44522,552,1,51140.4011299435
378663,379218,379218,-39241,-39315,42.7461,74,74.02953,92.7523,101.8153,2.381862,0,0.0,0.03125,0.006836,1.060547,-11.65649,6.114504,-1.503817,-1.687746,0.369304,29.42412,False,2624.9,2.115304,2.312693,7.139396,0.930172,False,True,True,True,True,False,False,False,False,False,500,45184,555,0,51978.76836158192
379329,379882,379883,-39230,-39315,42.7461,85,85.02995,93.32314,98.26715,2.298857,0,0.0,0.029297,0.008789,1.058105,-11.56489,6.145038,-1.770992,-1.585945,0.47591,29.37706,False,2626.0,2.11619,2.313662,7.142388,0.931473,False,True,True,True,True,False,False,False,False,False,500,45850,553,1,52817.13559322034
379991,380547,380548,-39222,-39315,42.7461,93,93.04313,91.03914,96.33157,2.253576,0,0.0,0.033691,0.003418,1.060547,-11.78626,6.076336,-1.396947,-1.819544,0.184654,29.37706,False,2624.3,2.11482,2.312165,7.137764,0.929463,False,True,True,True,True,False,False,False,False,False,500,46512,556,1,53655.502824858755
380659,381211,381212,-39225,-39315,42.7461,90,90.03783,88.61176,94.25958,2.205104,0,0.0,0.032227,0.006592,1.06543,-11.64886,6.022901,-1.526718,-1.732488,0.354483,29.47118,False,2624.8,2.115223,2.312605,7.139124,0.930054,False,True,True,True,True,False,False,False,False,False,500,47180,552,1,54493.87005649717
381991,382541,382541,-39219,-39315,42.7461,96,96.03992,91.6108,91.15048,2.13237,0,0.0,0.031982,0.003174,1.063232,-11.69466,5.938931,-1.519084,-1.722947,0.171031,29.42412,False,2624.0,2.114579,2.3119,7.136948,0.929108,False,True,True,True,True,False,False,False,False,False,500,48512,550,0,55332.23728813559
382650,383205,383206,-39241,-39315,42.7461,74,74.04134,88.46778,91.3307,2.136585,0,0.0,0.037109,0.00293,1.064209,-11.61069,6.198473,-1.312977,-1.997104,0.15773,29.37706,False,2625.9,2.11611,2.313574,7.142116,0.931355,False,True,True,True,True,False,False,False,False,False,500,49171,555,1,56170.60451977401
383317,383870,383871,-39221,-39315,42.7461,94,94.03384,91.32554,90.20986,2.110365,0,0.0,0.029541,0.003662,1.05542,-11.65649,6.145038,-1.389313,-1.603267,0.198804,29.37706,False,2627.3,2.117238,2.314808,7.145924,0.93301,False,True,True,True,True,False,False,False,False,False,500,49838,553,1,57008.97175141243
383980,384534,384535,-39219,-39315,42.7461,96,96.04795,92.89954,90.64665,2.120583,0,0.0,0.034668,0.003906,1.051514,-11.70992,6.038168,-1.534351,-1.888317,0.212846,29.37706,False,2625.8,2.116029,2.313486,7.141844,0.931236,False,True,True,True,True,False,False,False,False,False,500,50501,554,1,57847.338983050846
385311,385863,385864,-39223,-39315,42.7461,92,92.0565,93.18797,92.06538,2.153772,0,0.0,0.038818,0.000732,1.061768,-11.60305,6.045802,-1.381679,-2.093803,0.039523,29.42412,False,2624.9,2.115304,2.312693,7.139396,0.930172,False,True,True,True,True,False,False,False,False,False,500,51832,552,1,58685.706214689264
