tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
47061.0,47592.0,47593.0,167988.0,-66871.0,42.746101,234859.0,234859.41,5494.28857,5494.28857,5494.0,0.0,-0.06,1.0,45.79,-0.33,-1.41,-0.11,-3.42,24.29,104,22905.0
47755.0,48286.0,48287.0,168458.0,-66871.0,42.746101,235329.0,235329.42,5505.28369,5505.28369,5505.0,-0.0,-0.06,1.0,45.86,-0.19,-1.6,0.11,-3.68,24.25,104,23599.0
48449.0,48980.0,48981.0,168278.0,-66871.0,42.746101,235149.0,235149.06,5501.06445,5505.28369,5505.0,-0.0,-0.06,1.0,45.87,-0.49,-1.66,0.04,-3.36,24.2,104,24293.0
49143.0,49674.0,49675.0,167417.0,-66871.0,42.746101,234288.0,234288.0,5480.9209,5480.9209,5481.0,0.0,-0.06,1.0,45.78,-0.4,-1.44,0.0,-3.72,24.29,104,24987.0
49837.0,50368.0,50369.0,167801.0,-66871.0,42.746101,234672.0,234672.03,5489.90479,5489.90479,5490.0,-0.0,-0.07,1.0,45.84,-0.18,-1.38,0.03,-4.0,24.25,104,25681.0
50531.0,51062.0,51063.0,167004.0,-66871.0,42.746101,233875.0,233880.08,5471.37793,5471.37793,5471.0,-0.01,-0.06,0.99,45.88,-0.5,-1.54,0.39,-3.43,24.15,104,26375.0
51225.0,51756.0,51757.0,166712.0,-66871.0,42.746101,233583.0,233583.11,5464.43066,5464.43066,5464.5,-0.0,-0.06,1.0,45.88,-0.63,-1.53,0.06,-3.36,24.2,104,27069.0
51919.0,52450.0,52451.0,165852.0,-66871.0,42.746101,232723.0,232726.34,5444.3877,5444.3877,5444.0,0.01,-0.07,1.0,45.74,-0.53,-1.51,-0.32,-3.77,24.2,104,27763.0
52613.0,53144.0,53145.0,165653.0,-66871.0,42.746101,232524.0,232524.16,5439.65771,5444.3877,5444.0,0.0,-0.07,1.0,45.67,-0.29,-1.5,-0.07,-3.78,24.25,104,28457.0
53307.0,53838.0,53839.0,165774.0,-66871.0,42.746101,232645.0,232645.23,5442.49023,5442.53564,5442.5,-0.0,-0.06,1.0,46.01,-0.6,-1.49,0.08,-3.56,24.34,104,29151.0
54001.0,54532.0,54533.0,165196.0,-66871.0,42.746101,232067.0,232067.0,5428.96289,5428.96289,5429.0,0.0,-0.06,1.0,45.92,-0.4,-1.64,0.0,-3.49,24.34,104,29845.0
54695.0,55227.0,55227.0,164908.0,-66871.0,42.746101,231779.0,231779.09,5422.22754,5422.22754,5422.0,0.0,-0.07,1.0,45.92,-0.32,-1.53,-0.06,-3.76,24.25,104,30539.0
55389.0,55921.0,55921.0,165041.0,-66871.0,42.746101,231912.0,231912.03,5425.3374,5422.22754,5422.0,-0.0,-0.06,1.0,45.9,-0.27,-1.53,0.03,-3.34,24.25,104,31233.0
56083.0,56615.0,56615.0,165055.0,-66871.0,42.746101,231926.0,231926.0,5425.66455,5423.44531,5423.5,0.0,-0.07,1.0,45.85,-0.4,-1.55,-0.01,-4.01,24.29,104,31927.0
56777.0,57309.0,57309.0,165115.0,-66871.0,42.746101,231986.0,231990.58,5427.17529,5424.31396,5424.0,0.01,-0.06,1.0,45.85,-0.5,-1.53,-0.38,-3.59,24.25,104,32621.0
57471.0,58003.0,58003.0,167837.0,-66871.0,42.746101,234708.0,234710.31,5490.80029,5490.80029,5491.0,0.0,-0.07,1.0,45.73,-0.44,-1.55,-0.27,-3.81,24.2,104,33315.0
58165.0,58697.0,58698.0,171537.0,-66871.0,42.746101,238408.0,238408.23,5577.30957,5577.30957,5577.0,0.0,-0.07,1.0,46.0,-0.44,-1.51,-0.08,-3.79,24.2,104,34009.0
58859.0,59391.0,59392.0,167674.0,-66871.0,42.746101,234545.0,234545.53,5486.9458,5486.9458,5487.0,0.0,-0.07,0.99,45.79,0.24,-1.37,-0.13,-3.98,24.25,104,34703.0
59553.0,60085.0,60086.0,159960.0,-66871.0,42.746101,226831.0,226831.3,5306.479,5306.479,5306.5,-0.0,-0.06,1.0,46.02,-0.36,-1.56,0.1,-3.59,24.15,104,35397.0
60248.0,60779.0,60780.0,166256.0,-66871.0,42.746101,233127.0,233127.64,5453.77539,5453.77539,5454.0,0.0,-0.07,1.0,45.89,-0.79,-1.64,-0.14,-4.0,24.2,104,36092.0
60942.0,61473.0,61474.0,165859.0,-66871.0,42.746101,232730.0,232732.08,5444.52197,5444.52197,5444.5,-0.0,-0.06,0.99,46.02,-0.35,-1.38,0.25,-3.71,24.25,104,36786.0
