tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,timeNorm,realWeight
1465024.0,1465559.0,1465560.0,-62713.0,-62758.0,45.0,45.04,1.05273,1.575,0.0,0.04,0.0,1.0,44.88,-0.37,-1.37,-2.57,0.04,25.24,93748.0,104
1465718.0,1466254.0,1466254.0,-62722.0,-62758.0,36.0,36.04,0.84218,1.37053,0.0,0.05,0.0,0.99,44.81,-0.41,-1.59,-2.67,0.0,25.24,94442.0,104
1466412.0,1466948.0,1466949.0,-62735.0,-62758.0,23.0,23.02,0.53806,1.16368,0.0,0.04,-0.0,0.99,44.84,-0.63,-1.6,-2.45,-0.23,25.28,95136.0,104
1467107.0,1467643.0,1467643.0,-62678.0,-62758.0,80.0,80.08,1.87152,0.91875,0.0,0.05,0.0,1.0,44.56,-0.66,-1.64,-2.68,0.11,25.33,95831.0,104
1467801.0,1468337.0,1468338.0,-62682.0,-62758.0,76.0,76.05,1.77794,1.29176,0.0,0.04,0.01,1.0,44.97,-0.63,-1.66,-2.12,0.42,25.24,96525.0,104
1468496.0,1469031.0,1469032.0,-62688.0,-62758.0,70.0,70.06,1.63758,1.4821,0.0,0.04,0.0,1.0,44.62,-0.69,-1.5,-2.52,0.01,25.14,97220.0,104
1469190.0,1469726.0,1469727.0,-62712.0,-62758.0,46.0,46.04,1.07612,1.54297,0.0,0.04,0.0,1.0,44.72,-0.69,-1.5,-2.54,0.13,25.28,97914.0,104
1469884.0,1470420.0,1470421.0,-62695.0,-62758.0,63.0,63.07,1.47382,1.3602,0.0,0.05,0.0,1.01,44.37,0.76,-0.32,-2.71,0.18,25.28,98608.0,104
1470579.0,1471115.0,1471115.0,-62713.0,-62758.0,45.0,45.05,1.05273,1.40468,0.0,0.05,0.01,1.0,44.34,-2.34,-0.96,-2.67,0.41,25.19,99303.0,104
1471273.0,1471809.0,1471810.0,-62713.0,-62758.0,45.0,45.05,1.05273,1.26689,0.0,0.05,0.0,1.0,45.73,-5.12,-1.32,-2.85,0.1,25.14,99997.0,104
1471967.0,1472503.0,1472504.0,-62724.0,-62758.0,34.0,34.02,0.79539,1.18305,0.0,0.04,0.0,1.0,45.39,0.53,-3.27,-2.23,0.15,25.24,100691.0,104
1472662.0,1473198.0,1473198.0,-62763.0,-62758.0,-5.0,-5.0,-0.11697,1.03128,0.0,0.04,-0.0,1.0,45.37,-1.51,-2.85,-2.28,-0.13,25.28,101386.0,104
1473356.0,1473892.0,1473893.0,-62707.0,-62758.0,51.0,51.01,1.19309,0.58174,0.0,0.02,0.0,1.0,45.04,4.12,-2.89,-1.05,0.28,25.24,102080.0,104
1474051.0,1474587.0,1474587.0,-62739.0,-62758.0,19.0,19.0,0.44448,0.82108,0.0,-0.01,-0.0,1.0,44.37,-3.62,-1.46,0.41,-0.11,25.28,102775.0,104
1474745.0,1475281.0,1475282.0,-62712.0,-62758.0,46.0,46.0,1.07612,0.67365,0.0,0.0,0.0,1.0,43.92,-3.4,-1.56,-0.26,0.04,25.28,103469.0,104
1475439.0,1475975.0,1475976.0,-62745.0,-62758.0,13.0,13.0,0.30412,0.83121,0.0,0.01,0.01,1.0,44.18,-0.4,-1.73,-0.57,0.35,25.33,104163.0,104
1476134.0,1476670.0,1476670.0,-62710.0,-62758.0,48.0,48.0,1.12291,0.62486,0.0,0.01,0.0,1.0,44.4,-0.18,-0.56,-0.53,0.13,25.19,104858.0,104
1476828.0,1477364.0,1477365.0,-62727.0,-62758.0,31.0,31.0,0.72521,0.81985,0.0,0.01,-0.0,1.0,44.5,-0.6,-1.24,-0.68,-0.06,25.28,105552.0,104
1477523.0,1478058.0,1478059.0,-62698.0,-62758.0,60.0,60.0,1.40364,0.7828,0.0,0.01,-0.01,0.99,44.52,-0.01,-0.96,-0.55,-0.69,25.24,106247.0,104
1478217.0,1478753.0,1478754.0,-62786.0,-62758.0,-28.0,-28.0,-0.65503,1.02586,0.0,0.01,-0.0,1.0,43.08,-0.62,0.6,-0.74,-0.14,25.19,106941.0,104
1478912.0,1479447.0,1479448.0,-62660.0,-62758.0,98.0,98.0,2.29261,0.36779,0.0,0.01,0.0,1.0,45.71,-0.56,-2.21,-0.56,0.22,25.28,107636.0,104
1479606.0,1480142.0,1480142.0,-62759.0,-62758.0,-1.0,-1.0,-0.02339,1.12135,0.0,0.01,-0.0,1.0,43.78,-0.68,-1.34,-0.67,-0.1,25.24,108330.0,104
1480300.0,1480836.0,1480837.0,-62666.0,-62758.0,92.0,92.0,2.15224,0.67319,0.0,0.0,0.0,1.0,45.64,-0.7,-3.81,-0.1,0.11,25.24,109024.0,104
1480995.0,1481531.0,1481531.0,-62763.0,-62758.0,-5.0,-5.0,-0.11697,1.25224,0.0,0.0,0.01,1.0,44.47,-0.73,-1.31,-0.27,0.41,25.19,109719.0,104
1481689.0,1482225.0,1482226.0,-62648.0,-62758.0,110.0,110.01,2.57333,0.71619,0.0,0.01,0.0,1.0,45.95,-0.41,-2.05,-0.66,0.24,25.28,110413.0,104
1482384.0,1482919.0,1482920.0,-62745.0,-62758.0,13.0,13.0,0.30412,1.44326,0.0,0.01,0.0,1.0,44.11,-1.53,-0.38,-0.53,0.11,25.14,111108.0,104
1483078.0,1483614.0,1483615.0,-62665.0,-62758.0,93.0,93.0,2.17564,0.99729,0.0,0.01,0.01,1.0,45.06,-0.21,-2.22,-0.62,0.81,25.19,111802.0,104
1483772.0,1484308.0,1484309.0,-62731.0,-62758.0,27.0,27.0,0.63164,1.45861,0.0,0.01,0.01,0.99,43.84,-0.37,-0.47,-0.77,0.44,25.24,112496.0,104
1484467.0,1485003.0,1485003.0,-62731.0,-62758.0,27.0,27.0,0.63164,1.13485,0.0,0.01,0.01,1.0,43.37,-0.63,-1.85,-0.4,0.32,25.19,113191.0,104
1485161.0,1485697.0,1485698.0,-62712.0,-62758.0,46.0,46.0,1.07612,0.93784,0.0,0.01,0.0,1.0,44.44,-0.39,-1.1,-0.75,0.13,25.19,113885.0,104
1485855.0,1486391.0,1486392.0,-62817.0,-62758.0,-59.0,-59.01,-1.38024,0.99198,0.0,0.01,0.0,1.0,43.79,-0.96,-1.85,-0.83,0.27,25.38,114579.0,104
1486550.0,1487086.0,1487087.0,-62862.0,-62758.0,-104.0,-104.0,-2.43297,0.06325,0.0,0.01,-0.0,1.0,46.11,-0.79,-4.98,-0.29,-0.28,25.24,115274.0,104
1487245.0,1487780.0,1487781.0,-62776.0,-62758.0,-18.0,-18.0,-0.42109,-0.91402,0.0,0.01,0.0,1.0,44.24,-0.73,-2.24,-0.63,0.14,25.19,115969.0,104
1487939.0,1488475.0,1488475.0,-62749.0,-62758.0,9.0,9.0,0.21055,-0.72104,0.0,-0.0,0.0,1.0,45.64,-0.37,-2.19,0.06,0.08,25.24,116663.0,104
1488633.0,1489169.0,1489170.0,-62700.0,-62758.0,58.0,58.0,1.35685,-0.35632,0.0,0.01,-0.0,1.0,44.05,-0.05,1.46,-0.43,-0.07,25.24,117357.0,104
1489328.0,1489863.0,1489864.0,-62657.0,-62758.0,101.0,101.0,2.36279,0.31438,0.0,0.01,0.01,1.0,45.39,-0.38,-0.56,-0.5,0.63,25.19,118052.0,104
1490022.0,1490558.0,1490558.0,-62702.0,-62758.0,56.0,56.01,1.31006,1.11633,0.0,0.02,-0.0,1.0,44.15,-0.29,-0.63,-0.87,-0.01,25.14,118746.0,104
