tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
1651417,1651945,1651946,-67881,-67795,42.7461,-86,-87.61296,-81.40098,-2.049613,-2.084196,0,0.207031,0.095215,1.016113,-11.50382,6.007634,-1.29771,-11.46736,5.353254,30.97706,2675.9,2.156403,2.357627,7.27811,0.997001,False,True,True,True,True,False,False,False,False,False,104,713103,528,1,708928.9724310777
1653299,1653843,1653843,-67837,-67795,42.7461,-42,-42.78254,-78.92339,-1.000852,-2.070657,0,0.205566,0.095703,1.012207,-11.55725,6.435114,-1.343511,-11.43026,5.401187,31.02412,2675.2,2.155839,2.35701,7.276206,0.99674,False,True,True,True,True,False,False,False,False,False,104,714985,544,0,711014.0576441103
1655408,1655930,1655931,-67857,-67795,42.7461,-62,-63.19945,-77.4567,-1.478485,-1.651828,0,0.20752,0.094238,1.002686,-11.56489,6.206107,-1.366412,-11.64313,5.369209,30.93,2675.0,2.155678,2.356834,7.275661,0.996666,False,True,True,True,True,False,False,False,False,False,104,717094,522,1,713099.142857143
1657302,1657828,1657829,-67854,-67795,42.7461,-59,-60.11623,-74.68451,-1.406356,-1.583964,0,0.207275,0.09668,1.012695,-11.34351,6.206107,-1.587786,-11.51638,5.453356,30.93,2674.9,2.155597,2.356746,7.27539,0.996629,False,True,True,True,True,False,False,False,False,False,104,718988,526,1,715184.2280701755
1659173,1659726,1659726,-67850,-67795,42.7461,-55,-56.06281,-70.61214,-1.31153,-1.514431,0,0.208496,0.091309,1.008301,-11.45038,6.38168,-1.40458,-11.63661,5.174403,31.02412,2673.3,2.154308,2.355336,7.271038,0.996033,False,True,True,True,True,False,False,False,False,False,104,720859,553,0,717269.3132832081
1661242,1661718,1661719,-67880,-67795,42.7461,-85,-86.64912,-71.33619,-2.027065,-1.434995,0,0.208252,0.090576,1.005127,-11.59542,6.320611,-1.473282,-11.6595,5.149241,30.88294,2674.8,2.155516,2.356658,7.275117,0.996591,False,True,True,True,True,False,False,False,False,False,104,722928,476,1,719354.3984962406
1663423,1663900,1663901,-67867,-67795,42.7461,-72,-73.55776,-67.14021,-1.720806,-1.666791,0,0.219727,0.094238,1.003418,-11.69466,6.122138,-1.282443,-12.29907,5.365313,30.93,2674.1,2.154953,2.356041,7.273214,0.996331,False,True,True,True,True,False,False,False,False,False,104,725109,477,1,721439.4837092733
1665537,1666082,1666083,-67865,-67795,42.7461,-70,-71.32804,-64.8138,-1.668644,-1.687938,0,0.206055,0.090088,1.005859,-11.48092,6.206107,-1.29771,-11.53218,5.117921,31.02412,2674.5,2.155275,2.356394,7.274302,0.99648,False,True,True,True,True,False,False,False,False,False,104,727223,545,1,723524.5689223058
1667429,1667980,1667981,-67827,-67795,42.7461,-32,-32.64536,-63.36563,-0.763704,-1.680384,0,0.213623,0.100098,1.010254,-11.54962,6.114504,-1.412214,-11.88304,5.658481,30.88294,2674.6,2.155355,2.356482,7.274574,0.996517,False,True,True,True,True,False,False,False,False,False,104,729115,551,1,725609.6541353384
1669558,1670068,1670068,-67881,-67795,42.7461,-86,-87.67549,-66.8622,-2.051076,-1.321504,0,0.211182,0.094727,1.016846,-11.66412,6.29771,-1.267176,-11.68336,5.322145,30.93,2674.5,2.155275,2.356394,7.274302,0.99648,False,True,True,True,True,False,False,False,False,False,104,731244,510,0,727694.7393483709
