37883,	1.3107,	0.0000,	37329,	37882,	0.4336,	0.0000,	0,	0,	-61.7977,	5148.0000,	5067.00,	0,	3755,	3.88,	-0.02,	-0.00,	1.01,	29.02,	-0.07,	-1.25,	1.17,	-0.15,	24.29,	24.34,	-0.04,	
38534,	0.7444,	0.0000,	37979,	38532,	0.7770,	0.0000,	0,	0,	-61.7977,	5148.0000,	5102.00,	0,	3755,	3.71,	-0.01,	0.00,	1.01,	28.81,	-0.25,	-2.57,	0.65,	0.08,	24.29,	24.34,	-0.04,	
39183,	1.5211,	0.0000,	38629,	39182,	0.7642,	0.0000,	0,	0,	-61.7977,	5148.0000,	5054.00,	0,	3755,	3.76,	-0.01,	0.00,	1.01,	29.17,	-0.20,	-2.09,	0.83,	0.11,	24.29,	24.34,	-0.04,	
39833,	2.1684,	0.0000,	39279,	39832,	1.0605,	0.0000,	0,	0,	-61.7977,	5148.0000,	5014.00,	0,	3755,	3.82,	-0.01,	-0.00,	1.01,	29.02,	0.20,	-0.76,	0.68,	-0.28,	24.29,	24.34,	-0.04,	
40483,	0.4045,	0.0000,	39929,	40482,	1.4942,	0.0000,	0,	0,	-61.7977,	5148.0000,	5123.00,	0,	3755,	3.71,	-0.02,	-0.00,	1.00,	29.03,	-0.21,	-1.76,	0.98,	-0.20,	24.20,	24.34,	-0.11,	
41134,	0.5825,	0.0000,	40580,	41133,	1.0676,	0.0000,	0,	0,	-61.7977,	5148.0000,	5112.00,	0,	3755,	3.77,	-0.01,	-0.00,	1.01,	29.07,	-0.15,	-2.72,	0.56,	-0.04,	24.29,	24.34,	-0.04,	
41784,	0.1942,	0.0000,	41229,	41782,	0.8777,	0.0000,	0,	0,	-61.7977,	5148.0000,	5136.00,	0,	3755,	3.71,	-0.02,	0.00,	1.01,	29.24,	0.07,	-1.44,	0.87,	0.24,	24.25,	24.34,	-0.07,	
42433,	0.5178,	0.0000,	41879,	42432,	0.6101,	0.0000,	0,	0,	-61.7977,	5148.0000,	5116.00,	0,	3755,	3.75,	-0.02,	0.01,	1.00,	28.96,	-0.11,	-0.82,	0.92,	0.29,	24.15,	24.34,	-0.14,	
43083,	0.6635,	0.0000,	42529,	43082,	0.5740,	0.0000,	0,	0,	-61.7977,	5148.0000,	5107.00,	0,	3755,	3.84,	-0.02,	-0.01,	1.01,	28.87,	-0.15,	-2.21,	1.08,	-0.32,	24.34,	24.34,	0.00,	
43734,	1.5696,	0.0000,	43180,	43732,	0.6090,	0.0000,	0,	0,	-61.7977,	5148.0000,	5051.00,	0,	3755,	3.73,	-0.02,	-0.01,	1.00,	28.89,	-0.04,	-2.35,	1.35,	-0.31,	24.25,	24.34,	-0.07,	
44384,	0.3236,	0.0000,	43830,	44383,	0.9851,	0.0000,	0,	0,	-61.7977,	5148.0000,	5128.00,	0,	3755,	3.72,	-0.02,	-0.00,	1.01,	28.98,	-0.01,	-1.11,	0.97,	-0.26,	24.29,	24.34,	-0.04,	
45034,	0.4855,	0.0000,	44479,	45032,	0.7261,	0.0000,	0,	0,	-61.7977,	5148.0000,	5118.00,	0,	3755,	3.84,	-0.02,	-0.00,	1.01,	29.07,	-0.15,	-1.27,	1.07,	-0.03,	24.29,	24.34,	-0.04,	
45684,	-0.0162,	0.0000,	45129,	45682,	0.6319,	0.0000,	0,	0,	-61.7977,	5148.0000,	5149.00,	0,	3755,	3.84,	-0.02,	-0.01,	1.01,	28.87,	-0.24,	-2.54,	1.02,	-0.72,	24.29,	24.34,	-0.04,	
